Udyam Registration Number,Enterprise Name,Organisation Type,Date of Incorporation,Date of Udyam Registration,Major Activity,Enterprise Type,PAN,GSTIN,State,District,Registered Address,Unit/Plant Name,NIC Code,NIC Activity,Investment in Plant & Machinery (INR),Annual Turnover (INR),Number of Employees,Email,Mobile Number,,,
UDYAM-TN-02-0012345,Sri Tech Solutions Private Limited,Private Limited Company,10-03-2022,15-04-2022,Services,Small,AABCS1234F,33AABCS1234F1Z5,Tamil Nadu,Chennai,"25, Industrial Estate Road, Guindy, Chennai - 600032",Sri Tech Solutions - Chennai Unit,62011,Computer programming activities,1.85 Cr,8.40 Cr,48,info@sritechsolutions.example,9840112345,,,
UDYAM-MH-18-0045678,Aura Precision Engineering LLP,Limited Liability Partnership,14-07-2019,20-08-2020,Manufacturing,Small,AAKFA5678K,27AAKFA5678K1Z3,Maharashtra,Pune,"Plot 44, MIDC Bhosari, Pune - 411026",Aura Precision Unit 1,25920,Machining; treatment and coating of metals,4.20 Cr,14.50 Cr,65,contact@auraprecision.example,9822098765,,,
UDYAM-KA-03-0098123,GreenRoot Organics Pvt Ltd,Private Limited Company,05-11-2020,12-01-2021,Manufacturing,Micro,AABCG4321H,29AABCG4321H1Z8,Karnataka,Bengaluru Urban,"12/A, Peenya Industrial Area 3rd Phase, Bengaluru - 560058",GreenRoot Processing Unit,10799,Manufacture of other food products n.e.c.,0.65 Cr,2.10 Cr,18,sales@greenrootorganics.example,9845012340,,,
UDYAM-GJ-01-0076543,Vibrant Polymers,Proprietorship,22-01-2018,05-09-2020,Manufacturing,Small,BCEPV3456L,24BCEPV3456L1Z2,Gujarat,Ahmedabad,"Shed 102, GIDC Vatva, Ahmedabad - 382445",Vibrant Extrusions,22209,Manufacture of other plastic products,2.90 Cr,9.80 Cr,38,admin@vibrantpolymers.example,9879054321,,,
UDYAM-DL-06-0034129,NextGen Cloud Informatics Pvt Ltd,Private Limited Company,18-06-2021,25-07-2021,Services,Micro,AABCN7890M,07AABCN7890M1Z4,Delhi,South Delhi,"B-14, Okhla Industrial Area Phase-II, New Delhi - 110020",NextGen Cloud Labs,62020,Computer consultancy and computer facilities management,0.40 Cr,1.80 Cr,14,operations@nextgencloud.example,9811045678,,,
UDYAM-TS-09-0065432,BioMed Lifesciences LLP,Limited Liability Partnership,09-09-2017,14-10-2020,Manufacturing,Medium,AAFFB2345P,36AAFFB2345P1Z1,Telangana,Hyderabad,"Plot 18/B, Genome Valley, Shamirpet, Hyderabad - 500078",BioMed Pharma Block A,21002,Manufacture of pharmaceutical preparations,18.50 Cr,72.00 Cr,160,reach@biomedlifesciences.example,9849034567,,,
UDYAM-WB-10-0023456,Bengal Loom & Crafts,Partnership,11-02-2015,19-11-2020,Manufacturing,Micro,AAAFB9876C,19AAAFB9876C1Z9,West Bengal,Howrah,"78, Grand Trunk Road, Bally, Howrah - 711201",Bengal Loom Weaving Center,13121,Manufacture of woven fabrics of cotton,0.30 Cr,1.25 Cr,22,support@bengalloom.example,9830076543,,,
UDYAM-UP-28-0056789,Shree Krishna Agro Implements,Proprietorship,01-04-2016,10-08-2020,Manufacturing,Small,BTYPS6543Q,09BTYPS6543Q1Z6,Uttar Pradesh,Kanpur Nagar,"Plot 88, Panki Industrial Area, Site 3, Kanpur - 208022",Shree Krishna Workshop,28211,Manufacture of agricultural and forestry machinery,3.10 Cr,11.20 Cr,42,info@shreekrishnaagro.example,9415067890,,,
UDYAM-HR-04-0087654,Apex Supply Chain Logistics Pvt Ltd,Private Limited Company,30-08-2019,02-02-2021,Services,Small,AABCA4567D,06AABCA4567D1Z7,Haryana,Gurugram,"Sector 37, Pace City II, Gurugram - 122001",Apex Logistics Hub,52292,Freight forwarding and cargo handling activities,2.20 Cr,16.80 Cr,55,connect@apexlogistics.example,9810023456,,,
UDYAM-RJ-12-0032198,Marwar Marble & Granites,Partnership,15-10-2014,18-09-2020,Manufacturing,Medium,AAAFM3456J,08AAAFM3456J1Z0,Rajasthan,Udaipur,"RIICO Industrial Area, Sukher, Udaipur - 313001",Marwar Cutting & Polishing Unit,23960,Cutting, shaping and finishing of stone,12.40 Cr,58.00 Cr,110,sales@marwarmarble.example,9414087654,,
UDYAM-KL-07-0043210,Coastal Spice Extracts LLP,Limited Liability Partnership,12-12-2018,15-01-2021,Manufacturing,Small,AABFC7891E,32AABFC7891E1Z2,Kerala,Ernakulam,"Building 4/320, Edayar Industrial Area, Kochi - 683502",Coastal Extracts Plant 2,10795,Manufacture of spices, condiments and oleoresins,4.80 Cr,18.20 Cr,50,admin@coastalspice.example,9847056789,,
UDYAM-TN-03-0078901,Kovai Automation Systems,Proprietorship,03-05-2021,11-06-2021,Services,Micro,BCSPK1234N,33BCSPK1234N1Z3,Tamil Nadu,Coimbatore,"14, SIDCO Industrial Estate, Kurichi, Coimbatore - 641021",Kovai Automation Lab,71122,Engineering design and system integration,0.85 Cr,3.40 Cr,16,office@kovaiautomation.example,9894012398,,,
UDYAM-MP-08-0067890,Narmada Flour & Agro Mills Pvt Ltd,Private Limited Company,25-01-2017,30-10-2020,Manufacturing,Small,AABCN5678R,23AABCN5678R1Z5,Madhya Pradesh,Indore,"Sanwer Road Industrial Area, Sector C, Indore - 452015",Narmada Agro Mill,10611,Flour milling (atta, maida, suji),3.75 Cr,19.50 Cr,34,contact@narmadaflour.example,9826034567,
UDYAM-PB-14-0019876,Bedi Sports Goods Manufacturing Co,Partnership,19-08-2013,04-11-2020,Manufacturing,Small,AAAFB6789S,03AAAFB6789S1Z4,Punjab,Jalandhar,"Leather Complex Road, Jalandhar - 144021",Bedi Sports Facility,32300,Manufacture of sports goods,2.10 Cr,7.60 Cr,40,exports@bedisports.example,9814098765,,,
UDYAM-OD-15-0089012,Kalinga Metal Fabrication Works,Proprietorship,08-03-2018,22-12-2020,Manufacturing,Micro,BCDPK7890T,21BCDPK7890T1Z1,Odisha,Cuttack,"Jagpur Industrial Area, Cuttack - 754021",Kalinga Works Shed 3,25111,Manufacture of doors, windows and structural metal work,0.95 Cr,3.80 Cr,24,kalingametal@example.com,9437012345,,
UDYAM-AP-05-0034567,Sri Balaji Cold Storage & Warehousing,Partnership,14-06-2016,17-09-2020,Services,Small,AAAFS1234U,37AAAFS1234U1Z8,Andhra Pradesh,Guntur,"NH-16 Bypass Road, Guntur - 522019",Sri Balaji Cold Storage Block-1,52109,Storage and warehousing - cold storage,4.90 Cr,12.10 Cr,28,balajicoldstorage@example.com,9848076543,,,
UDYAM-CH-01-0021098,Zenith Cybernetics Pvt Ltd,Private Limited Company,01-09-2022,10-10-2022,Services,Micro,AABCZ9012V,04AABCZ9012V1Z6,Chandigarh,Chandigarh,"Plot 12, Rajiv Gandhi Chandigarh Technology Park, Chandigarh - 160101",Zenith Cyber R&D,62099,Other information technology and computer service activities,0.55 Cr,2.40 Cr,19,hr@zenithcyber.example,9876054321,,,
UDYAM-BR-02-0054321,Magadh Dairy Products,Proprietorship,17-02-2019,08-01-2021,Manufacturing,Micro,BDEPM4567W,10BDEPM4567W1Z9,Bihar,Patna,"Fatuha Industrial Area, Patna - 803201",Magadh Processing Plant,10501,Manufacture of liquid milk, cream, butter, paneer,0.70 Cr,4.10 Cr,26,magadhdairy@example.com,9934067890
UDYAM-JH-03-0043219,Chotanagpur Refractories Pvt Ltd,Private Limited Company,20-11-2015,14-08-2020,Manufacturing,Medium,AABCC3456X,20AABCC3456X1Z3,Jharkhand,Ranchi,"Tupudana Industrial Area, Hatia, Ranchi - 834003",Refractory Kiln Division,23910,Manufacture of refractory products,14.80 Cr,62.50 Cr,135,chotanagpur.ref@example.com,9431087654,,,
UDYAM-AS-01-0012987,Pragjyotish Tea Packaging LLP,Limited Liability Partnership,05-05-2017,19-10-2020,Manufacturing,Small,AABFP8901Y,18AABFP8901Y1Z0,Assam,Kamrup Metropolitan,"AIDC Complex, Amingaon, Guwahati - 781031",Pragjyotish Blending & Packing Unit,10792,Tea processing, blending and packaging,3.40 Cr,15.20 Cr,52,info@pragjyotishtea.example,9435012398,,
