Company Name, Establishment Name, EPFO Establishment ID, PAN, Registration Date, Date of Incorporation, Total Employees, EPF Applicable Employees, Employer Contribution Rate, Employee Contribution Rate, Registered Address, State, District, Authorized Signatory, Designation
Apex Precision Gears Pvt Ltd, Unit 1 - Peelamedu, TN/CBE/0001001, AABCA1111A, 25/06/2021, 12/05/2021, 35, 30, 12%, 12%, 14 Peelamedu Industrial Area Coimbatore - 641004, Tamil Nadu, Coimbatore, Rajesh Selvan, Managing Director
BlueWave Cloud Tech LLP, Pune Dev Center, MH/PUN/0002002, AABCB2222B, 10/09/2022, 18/08/2022, 14, 14, 12%, 12%, 402 Hinjawadi Phase 1 Pune - 411057, Maharashtra, Pune, Aniket Joshi, Designated Partner
GreenLeaf Agro Foods, Processing Plant A, KN/MYS/0003003, AABCG3333C, 15/03/2020, 04/02/2020, 28, 24, 12%, 12%, Plot 88 Hebbal Industrial Area Mysuru - 570016, Karnataka, Mysuru, Suresh Gowda, Partner
Radiant Logistics India Pvt Ltd, Okhla Hub, DL/DEL/0004004, AABCR4444D, 15/01/2020, 22/11/2019, 42, 38, 12%, 12%, 105 Okhla Phase III New Delhi - 110020, Delhi, New Delhi, Deepak Sharma, Director
SunCraft Solar Systems, Vatva Assembly Unit, GJ/AHD/0005005, AABCS5555E, 05/07/2023, 15/06/2023, 9, 8, 12%, 12%, 12 GIDC Vatva Ahmedabad - 382445, Gujarat, Ahmedabad, Jayesh Patel, Proprietor
Zenith Pharma Formulations LLP, Pashamylaram Facility, TS/HYD/0006006, AABCZ6666F, 20/02/2021, 09/01/2021, 55, 50, 12%, 12%, 56 IDA Pashamylaram Patancheru Hyderabad - 502307, Telangana, Hyderabad, K V Rao, Designated Partner
Orient Packaging Solutions, Plant II - Howrah, WB/HWH/0007007, AABCO7777G, 20/07/2020, 30/03/2018, 120, 110, 12%, 12%, NH 6 Jalan Industrial Complex Howrah - 711411, West Bengal, Howrah, Subhashish Sen, Partner
Matrix IT Solutions Pvt Ltd, Noida Core Tech, UP/NOI/0008008, AABCM8888H, 10/08/2022, 14/07/2022, 36, 34, 12%, 12%, Tower B Sector 62 Noida - 201309, Uttar Pradesh, Gautam Buddha Nagar, Pooja Mishra, Director
Heritage Craft Creations, Jaipur Handicraft Works, RJ/JAI/0009009, AABCH9999I, 25/11/2020, 01/10/2020, 8, 7, 12%, 12%, 22 Sitapura Industrial Area Jaipur - 302022, Rajasthan, Jaipur, Mahendra Rathore, Proprietor
Prime Automotive Components LLP, Manesar Plant, HR/GUR/0010010, AABCP1010J, 20/08/2020, 05/04/2019, 64, 58, 12%, 12%, Plot 45 Sector 8 IMT Manesar Gurugram - 122051, Haryana, Gurugram, Vikram Singh, Designated Partner
Coastal Spice Exports, Island Processing Center, KL/KOC/0011011, AABCC1212K, 20/10/2021, 20/09/2021, 22, 19, 12%, 12%, 7/12 Willingdon Island Kochi - 682003, Kerala, Ernakulam, George Mathew, Partner
Narmada Bio-Fertilizers Pvt Ltd, Indore Bio Unit, MP/IND/0012012, AABCN1313L, 10/06/2020, 11/02/2020, 38, 34, 12%, 12%, 90 Sanwer Road Industrial Area Indore - 452015, Madhya Pradesh, Indore, Rakesh Agrawal, Director
Krishna Aqua Feeds LLP, Vizag Aqua Feed Unit, AP/VIZ/0013013, AABCK1414M, 15/09/2022, 25/08/2022, 40, 36, 12%, 12%, Autonagar Block C Visakhapatnam - 530012, Andhra Pradesh, Visakhapatnam, V Srinivasa Rao, Designated Partner
Utkal Fabricators & Engineers, Rasulgarh Works, OR/BHU/0014014, AABCU1515N, 28/01/2020, 16/12/2019, 11, 10, 12%, 12%, Shed 4 Rasulgarh Industrial Estate Bhubaneswar - 751010, Odisha, Bhubaneswar, Debabrata Mohanty, Proprietor
Golden Knitwear Apparels, Ludhiana Knitting Mills, PB/LDH/0015015, AABCG1616O, 25/08/2020, 03/05/2018, 110, 98, 12%, 12%, 108 Industrial Area A Ludhiana - 141003, Punjab, Ludhiana, Harpreet Singh, Partner
Shivalik Precision Tools Pvt Ltd, Chandigarh Tool Room, CH/CHD/0016016, AABCS1717P, 20/11/2021, 29/09/2021, 26, 24, 12%, 12%, 52 Industrial Area Phase II Chandigarh - 160002, Chandigarh, Chandigarh, Raman Gupta, Director
Mithila Dairy & Food Processing, Patliputra Dairy Facility, BR/PAT/0017017, AABCM1818Q, 10/02/2023, 12/01/2023, 15, 13, 12%, 12%, F-12 Patliputra Industrial Area Patna - 800013, Bihar, Patna, Sanjeev Jha, Partner
Brahmaputra Tea Blenders LLP, Guwahati Blending Unit, AS/GUW/0018018, AABCB1919R, 01/08/2020, 08/06/2020, 30, 27, 12%, 12%, NH 37 Boragaon Guwahati - 781033, Assam, Kamrup Metropolitan, Bhaskar Baruah, Designated Partner
Chotanagpur Minerals & Metals, Kokar Crushing Plant, JH/RAN/0019019, AABCC2020S, 18/05/2022, 19/04/2022, 20, 18, 12%, 12%, Plot 33 Kokar Industrial Area Ranchi - 834001, Jharkhand, Ranchi, Amit Kumar Pandey, Proprietor
Himalayan Herbals & Extracts Pvt Ltd, Selaqui Extraction Plant, UK/DEH/0020020, AABCH2121T, 10/12/2021, 14/10/2021, 44, 40, 12%, 12%, 77 Selaqui Industrial Area Dehradun - 248011, Uttarakhand, Dehradun, Kavita Rawat, Director
