Company Name, Product / Service Name, Product Category, Country of Origin, Manufacturing / Service Location, Local Content Percentage, Imported Content Percentage, Local Value Addition, Local Components / Inputs, Imported Components / Inputs, Local Content Calculation Basis, Local Supplier Count, Domestic Employees, Indian R&D Contribution, Country of Origin Declaration Date, Authorized Signatory, Designation, Declaration Reference Number
Apex Precision Gears Pvt Ltd, Industrial Gears and Pinions, Mechanical Transmission Equipment, India, Coimbatore Tamil Nadu, 85%, 15%, 85%, Domestically procured forged alloy steel local precision machining indigenous heat treatment, Specialized high-grade alloy additives and imported cutting inserts, Cost of domestic raw materials local fabrication and direct labor, 18, 35, 60%, 15/08/2026, Rajesh Selvan, Managing Director, MII/TN/2026/001001
BlueWave Cloud Tech LLP, Cloud Management & SaaS Hosting Platform, Information Technology Services, India, Pune Maharashtra, 80%, 20%, 80%, In-house proprietary software frameworks Indian cloud engineering talent, Overseas proprietary database licenses and specialized global API toolkits, Value of domestic engineering workforce and locally hosted data centers, 8, 14, 70%, 18/08/2026, Aniket Joshi, Designated Partner, MII/MH/2026/002002
GreenLeaf Agro Foods, Processed Fruit Pulps & Dehydrated Vegetables, Food Processing, India, Mysuru Karnataka, 95%, 5%, 95%, Locally harvested agricultural produce domestic food-grade preservatives, Specialized imported bio-enzyme stabilizing agents, Direct farm procurement and domestic processing expenses, 45, 28, 40%, 10/08/2026, Suresh Gowda, Partner, MII/KA/2026/003003
Radiant Logistics India Pvt Ltd, Integrated Multimodal Supply Chain Solutions, Logistics & Transport Services, India, New Delhi Delhi, 88%, 12%, 88%, Indian fleet operations domestic warehousing indigenous tracking software, Global GPS satellite tracking modules and imported barcode scanning systems, Domestic fleet expenditure facility operations and local workforce cost, 32, 42, 35%, 12/08/2026, Deepak Sharma, Director, MII/DL/2026/004004
SunCraft Solar Systems, Monocrystalline Solar PV Modules, Renewable Energy Equipment, India, Ahmedabad Gujarat, 65%, 35%, 65%, Indian aluminum frames domestic solar tempered glass EVA sheets junction boxes, Imported high-efficiency photovoltaic silicon wafers, Cost of locally sourced raw materials and assembly labor, 15, 9, 50%, 14/08/2026, Jayesh Patel, Proprietor, MII/GJ/2026/005005
Zenith Pharma Formulations LLP, Finished Pharmaceutical Formulations (Tablets & Syrups), Pharmaceuticals, India, Hyderabad Telangana, 78%, 22%, 78%, Domestic Active Pharmaceutical Ingredients (APIs) excipients local packaging, Imported specialty reference standards and active reagents, Value of domestic chemical synthesis packaging and testing labor, 26, 55, 65%, 20/08/2026, K V Rao, Designated Partner, MII/TS/2026/006006
Orient Packaging Solutions, Heavy-Duty Corrugated Cartons & Master Boxes, Packaging Products, India, Howrah West Bengal, 92%, 8%, 92%, Locally recycled kraft paper domestic water-based adhesives and inks, Specialized imported water-resistant coating polymers, Domestic raw material procurement and corrugation plant operations, 40, 120, 30%, 05/08/2026, Subhashish Sen, Partner, MII/WB/2026/007007
Matrix IT Solutions Pvt Ltd, Custom Enterprise Web Portals & Mobile Apps, Information Technology Services, India, Noida Uttar Pradesh, 84%, 16%, 84%, Indigenous source code development domestic QA testing Indian developer salaries, International cloud infrastructure licenses and security suites, Total domestic billable hours local infrastructure and overheads, 12, 36, 80%, 19/08/2026, Pooja Mishra, Director, MII/UP/2026/008008
Heritage Craft Creations, Handcrafted Wooden Artifacts & Home Decor, Handicrafts, India, Jaipur Rajasthan, 98%, 2%, 98%, Locally sourced seasoned sheesham wood indigenous natural lacquers and pigments, Imported micro-precision carving bits, Direct local artisan labor material purchases and regional processing, 10, 8, 20%, 11/08/2026, Mahendra Rathore, Proprietor, MII/RJ/2026/009009
Prime Automotive Components LLP, Automotive Braking & Clutch Assemblies, Automotive Components, India, Gurugram Haryana, 82%, 18%, 82%, Domestically cast iron housings friction pads springs and fasteners, Specialized imported ceramic-composite brake friction linings, Local casting CNC machining assembly line labor and tooling cost, 28, 64, 55%, 16/08/2026, Vikram Singh, Designated Partner, MII/HR/2026/001010
